Var1,Var2,Freq
,product_category_name,NA
,product_category_name,NA
,product_category_name,NA
,product_name_lenght,Min.   : 5.0  
,product_name_lenght,1st Qu.:43.0  
,product_name_lenght,Median :52.0  
,product_name_lenght,Mean   :48.9  
,product_name_lenght,3rd Qu.:57.0  
,product_name_lenght,Max.   :76.0  
,product_name_lenght,NA's   :1401  
,product_description_lenght,Min.   :   4.0  
,product_description_lenght,1st Qu.: 348.0  
,product_description_lenght,Median : 603.0  
,product_description_lenght,Mean   : 786.6  
,product_description_lenght,3rd Qu.: 986.0  
,product_description_lenght,Max.   :3992.0  
,product_description_lenght,NA's   :1401  
,product_photos_qty,Min.   : 1.000  
,product_photos_qty,1st Qu.: 1.000  
,product_photos_qty,Median : 2.000  
,product_photos_qty,Mean   : 2.241  
,product_photos_qty,3rd Qu.: 3.000  
,product_photos_qty,Max.   :20.000  
,product_photos_qty,NA's   :1401  
,product_weight_g,Min.   :    0  
,product_weight_g,1st Qu.:  300  
,product_weight_g,Median :  700  
,product_weight_g,Mean   : 2086  
,product_weight_g,3rd Qu.: 1800  
,product_weight_g,Max.   :40425  
,product_weight_g,NA's   :16  
,product_length_cm,Min.   :  7.00  
,product_length_cm,1st Qu.: 18.00  
,product_length_cm,Median : 25.00  
,product_length_cm,Mean   : 30.07  
,product_length_cm,3rd Qu.: 38.00  
,product_length_cm,Max.   :105.00  
,product_length_cm,NA's   :16  
,product_height_cm,Min.   :  2.00  
,product_height_cm,1st Qu.:  8.00  
,product_height_cm,Median : 13.00  
,product_height_cm,Mean   : 16.37  
,product_height_cm,3rd Qu.: 20.00  
,product_height_cm,Max.   :105.00  
,product_height_cm,NA's   :16  
,product_width_cm,Min.   :  6.00  
,product_width_cm,1st Qu.: 15.00  
,product_width_cm,Median : 20.00  
,product_width_cm,Mean   : 23.03  
,product_width_cm,3rd Qu.: 30.00  
,product_width_cm,Max.   :118.00  
,product_width_cm,NA's   :16  
,    LP_ID,Min.   :1.000  
,    LP_ID,1st Qu.:3.000  
,    LP_ID,Median :3.000  
,    LP_ID,Mean   :3.828  
,    LP_ID,3rd Qu.:5.000  
,    LP_ID,Max.   :5.000  
,    LP_ID,NA
,     LP,Length:100196     
,     LP,Class :character  
,     LP,Mode  :character  
,     LP,NA
,     LP,NA
,     LP,NA
,     LP,NA
,   distance,Min.   :   0.0  
,   distance,1st Qu.: 196.8  
,   distance,Median : 457.8  
,   distance,Mean   : 633.6  
,   distance,3rd Qu.: 841.6  
,   distance,Max.   :9229.3  
,   distance,NA's   :496  
,products_per_order,Min.   :1.000  
,products_per_order,1st Qu.:1.000  
,products_per_order,Median :1.000  
,products_per_order,Mean   :1.089  
,products_per_order,3rd Qu.:1.000  
,products_per_order,Max.   :8.000  
,products_per_order,NA
,order_diff_time,Min.   :-188.975  
,order_diff_time,1st Qu.:   6.448  
,order_diff_time,Median :  12.039  
,order_diff_time,Mean   :  11.285  
,order_diff_time,3rd Qu.:  16.301  
,order_diff_time,Max.   : 146.017  
,order_diff_time,NA's   :8  
,     late,Min.   :0.0000  
,     late,1st Qu.:0.0000  
,     late,Median :0.0000  
,     late,Mean   :0.0798  
,     late,3rd Qu.:0.0000  
,     late,Max.   :1.0000  
,     late,NA's   :8  
,product_volume_cm,Min.   :   168  
,product_volume_cm,1st Qu.:  2816  
,product_volume_cm,Median :  6318  
,product_volume_cm,Mean   : 15089  
,product_volume_cm,3rd Qu.: 18000  
,product_volume_cm,Max.   :296208  
,product_volume_cm,NA's   :16  
, order_volume,Min.   :    168  
, order_volume,1st Qu.:   2880  
, order_volume,Median :   6912  
, order_volume,Mean   :  16275  
, order_volume,3rd Qu.:  19656  
, order_volume,Max.   :1476000  
, order_volume,NA's   :16  
, order_weight,Min.   :     0  
, order_weight,1st Qu.:   300  
, order_weight,Median :   700  
, order_weight,Mean   :  2242  
, order_weight,3rd Qu.:  1950  
, order_weight,Max.   :154200  
, order_weight,NA's   :16  
